user_id,lesson_id,completed_date,score,attempts_count,is_completed
1,1,,,3,f
2,1,2025-05-15 17:51:43.524613,,4,t
3,1,,,5,f
4,1,2024-10-28 07:17:57.303668,,,f
5,1,2024-09-07 12:39:56.787352,,1,f
6,1,2025-02-16 02:04:05.636536,,,t
7,1,2024-02-29 08:54:11.854683,,5,f
8,1,,,,t
9,1,2024-01-13 06:49:26.376003,72,,f
10,1,2024-06-01 05:30:05.077379,,5,f
11,1,,,,t
12,1,2025-09-11 13:56:58.815488,,,t
13,1,2024-07-14 12:28:56.737153,,,f
14,1,2025-08-22 20:12:33.769838,,3,t
15,1,,,,f
17,1,,,,t
18,1,,,,t
19,1,2024-02-12 18:29:54.038445,72,3,f
20,1,,,,t
21,1,2024-10-30 03:36:03.444145,,,t
22,1,2025-07-15 18:38:24.852516,,,t
23,1,2024-09-03 05:07:25.91045,,,t
24,1,2025-03-19 14:42:10.251639,,,f
25,1,2025-10-08 05:49:07.127441,,4,t
26,1,2025-10-03 06:50:54.863607,,,t
27,1,2024-05-18 13:46:08.99864,,,t
28,1,2024-03-30 23:18:56.355363,,,f
29,1,2024-05-28 11:09:22.014455,,3,f
30,1,2025-01-03 18:35:46.802957,85,,t
31,1,2025-05-19 12:54:29.947481,,,t
32,1,2025-04-17 20:28:13.448556,,,t
33,1,2025-09-18 19:53:30.407581,,3,t
34,1,,,,f
35,1,2024-12-12 12:47:50.584608,81,,t
37,1,2025-11-18 18:58:17.842555,74,5,t
38,1,,,,t
39,1,2024-07-17 17:25:39.587589,,2,f
40,1,2024-11-06 14:42:52.861838,,,t
41,1,2025-02-23 11:49:43.622862,84,,t
42,1,2025-01-08 07:06:54.611982,,,t
43,1,2024-05-16 22:35:10.004758,,,t
44,1,2024-11-24 03:10:57.807515,,3,f
45,1,,,,t
46,1,2024-05-29 07:08:21.239318,,,t
47,1,2024-02-23 02:02:08.228794,,5,f
48,1,2024-08-20 22:05:55.515349,72,,t
49,1,2024-10-25 07:39:04.470515,66,,t
50,1,2025-08-15 10:05:50.051033,95,,t
52,1,2024-12-19 17:18:31.952529,,,t
53,1,,,,t
55,1,,,1,f
56,1,,,,f
58,1,2024-10-04 22:54:24.651757,93,,t
61,1,2025-11-20 23:02:09.169268,,2,f
62,1,,,3,t
63,1,2024-09-20 17:52:48.143679,,,t
65,1,2025-08-02 07:08:11.943741,,,t
67,1,2024-09-17 21:56:33.060849,,,t
68,1,,,,t
69,1,,,,t
70,1,2024-12-15 08:03:52.694915,,4,t
71,1,2024-05-03 14:17:47.569726,62,4,f
74,1,2025-03-01 08:39:37.394662,,,t
79,1,2024-04-30 22:29:35.05013,95,,t
81,1,2024-09-03 14:28:06.857881,68,,t
84,1,2024-09-30 22:00:28.379351,,3,t
87,1,2024-01-04 08:09:17.676465,,,t
88,1,2025-04-10 11:21:29.21773,,4,t
89,1,2024-12-19 03:32:37.344628,,,t
94,1,2024-07-18 08:55:23.072145,,,t
95,1,,83,,t
96,1,2024-06-07 12:35:18.256322,,3,t
97,1,2024-04-12 06:54:20.439649,,,f
98,1,,,,f
99,1,2024-10-10 09:06:17.734514,82,,f
100,1,2025-03-21 19:16:23.510796,99,,t
101,1,,,,t
102,1,2024-09-27 16:56:24.926364,,2,t
104,1,,84,,t
106,1,,,5,f
110,1,,69,3,f
115,1,2024-12-22 08:53:25.301429,66,,t
118,1,,,4,f
121,1,2025-09-08 22:22:04.221314,62,,t
122,1,2024-03-02 23:21:40.893813,,,t
123,1,,,,f
124,1,2024-02-17 09:23:35.27207,,,t
125,1,2024-10-28 16:18:53.317371,,4,t
128,1,,69,,t
129,1,,,,f
132,1,2024-11-25 19:29:14.795809,89,2,t
133,1,,,,t
135,1,2025-02-26 02:03:40.28174,,,t
136,1,2024-12-24 00:06:14.990464,,5,f
138,1,2024-01-29 04:28:10.020155,,,t
141,1,,,,t
142,1,2024-06-06 14:56:05.953686,86,1,t
145,1,2024-07-25 16:06:09.448509,,,t
147,1,2025-01-17 19:13:37.63794,,,f
148,1,,,4,f
155,1,2025-08-10 21:12:05.974788,97,2,t
156,1,2024-08-02 19:05:00.874812,94,,f
